"loc_adm_2	",,,,nps2015,nps2016
"19107	",,,,8.75,8.5
"05031	",,,,8.3,9.26667
"20037	",,,,9,7.64286
"20139	",,,,8.07692,6.66667
"42011	",,,,8.44828,8.86364
"27043	",,,,7.45455,7.88
"13267	",,,,9,6
"29107	",,,,6.58333,6.78947
"51061	",,,,8,9.8
"13229	",,,,8,8
"42133	",,,,8.4,8.54545
"38077	",,,,8.39535,7.59016
"42017	",,,,8.25,9.6
"46107	",,,,8.66667,8
"18147	",,,,9.33333,7.8
"42097	",,,,8,9.2
"19169	",,,,7.16,8.23529
"20165	",,,,7,0
"36011	",,,,10,6.83333
"29089	",,,,9.2,8.93333
"29069	",,,,8.11111,8.27778
"39141	",,,,8.18182,8.2
"19047	",,,,8.35294,7.3125
"42001	",,,,9.25,8
"39123	",,,,7.6,8.16667
"31161	",,,,8.5,9.33333
"29081	",,,,7,9
"31107	",,,,8,7.69231
"37167	",,,,10,9
"27173	",,,,8.25,7.93939
"17173	",,,,8.65517,8.80822
"05041	",,,,7.6,9.6
"27023	",,,,8.11111,7.525
"42117	",,,,8,9
"31129	",,,,7.5,8.42857
"39161	",,,,8.45455,7.46154
"20059	",,,,8.75,10
"56013	",,,,10,8
"17077	",,,,7.06667,6.7
"19049	",,,,8.47368,8.88889
"27155	",,,,8.04,8.95833
"40025	",,,,7,8
"29173	",,,,9,10
"19015	",,,,7.58333,8.91667
"51093	",,,,9,8.63636
"29101	",,,,7.71429,8.33333
"27139	",,,,8.14286,7.4
"18105	",,,,6.33333,7.2
46041,,,,8.66667,9
"17109	",,,,8.73684,7.7
"39075	",,,,6.66667,5
"55053	",,,,9,7.375
"05123	",,,,7.5,10
"38073	",,,,8.92857,8.82353
"27131	",,,,8.55,7.06897
"46105	",,,,10,9.66667
"05077	",,,,9.25,8.42857
"26001	",,,,8,8
"18079	",,,,8.6,9.125
"20027	",,,,6.14286,7.26316
"55009	",,,,8.2,6.64706
28103,,,,9.66667,8.66667
"19115	",,,,10,9.55556
"17091	",,,,8.52632,8.85714
"36019	",,,,10,10
"26151	",,,,8.61111,8.83721
"19185	",,,,7.85714,6
"19171	",,,,8.61111,7
"46031	",,,,8,8.55556
"31069	",,,,8,10
"42121	",,,,7.5,5
"31123	",,,,8.11111,8.8
"29013	",,,,7.75,7.57143
"31077	",,,,8.16667,9.05882
"18051	",,,,7.3,8.16667
"28143	",,,,9,7.5
"17001	",,,,8.36364,9.16667
"19021	",,,,8.90323,8.04
"08073	",,,,9,7
"31025	",,,,8.5,8.08333
"27067	",,,,8.4,8.16
"39027	",,,,8.14286,7.33333
"39171	",,,,8.4,8.70833
"37051	",,,,9,7.66667
"55063	",,,,6.14286,8
"17085	",,,,8,7.46154
"38089	",,,,8.5,5.75
"36017	",,,,9,9
"27145	",,,,7.80851,8.63636
"17017	",,,,7.14286,8
"19101	",,,,9.33333,8
"48217	",,,,8.4,9.5
"39049	",,,,8.31034,8.48936
"27143	",,,,7,7.85714
"20147	",,,,8,8.5
"47141	",,,,9,7.66667
"13119	",,,,8.5,9.42857
"18103	",,,,8.5,9.42857
"19095	",,,,9.42857,9.42857
"17067	",,,,8.07692,8.71429
"20013	",,,,8.13333,8.85
"47053	",,,,9,7.63636
5117,,,,7.8,9
"55109	",,,,8.64706,8.5
"18111	",,,,8.83333,8.54545
"17015	",,,,7.52632,7.8125
"34005	",,,,9,7
